data;ora;numestudent;prenumestudent;numeprofesor;prenumeprofesor;nota
'2017.12.07';'13.34.42';'Giovanine';'Teri L DC';'Terpstra';'Wayne';'5'
'2014.22.10';'14.10.21';'Tammen';'Bob';'Walker';'Ralph';'9'
'2015.30.09';'07.25.43';'Short';'Howard M DC';'Salvemini';'Dominick';'9'
'2014.26.04';'14.40.08';'Belacquec';'Jorde';'Sphaler';'Randy';'7'
'2014.20.05';'17.13.02';'Taff';'Foy';'Pinkston';'Lisa';'6'
'2017.05.09';'03.20.40';'Riley';'Cathy';'Turnbull';'Porter DC';'8'
'2016.14.05';'07.22.20';'Lewis';'Cameran';'Mehsling';'Brad';'4'
'2018.15.04';'19.49.27';'Bialock';'Paul';'Adams';'Van B';'8'
'2016.09.10';'02.34.43';'Mc';'Cary Tim G';'Sidy';'Victor';'5'
'2015.04.09';'11.22.50';'Tate';'Frank';'Udovich';'Dean';'8'
'2017.30.04';'22.46.34';'Horst';'Jackie';'Vitt';'Lance';'8'
'2017.10.03';'02.26.15';'Bird';'Joy';'Singh';'Anardeep';'5'
'2016.24.03';'05.31.25';'Lee';'Eun';'Alvarez';'Mauricio A';'5'
'2018.06.01';'00.24.32';'Sheane';'Pat';'Vanzzini';'Daniel';'9'
'2014.08.07';'13.34.09';'Silva';'Floriano';'Stolmeier';'Vince';'7'
'2017.07.08';'16.26.37';'Terra';'Danny';'Dave';'Steven';'8'
'2014.12.06';'10.30.19';'Shepard';'Dyan';'Kniefel';'Twila';'9'
'2016.02.10';'14.42.12';'Ebner';'Terry';'Dave';'Steven';'6'
'2016.30.07';'09.54.46';'Ramsey';'Jerry';'Workman';'Bill';'5'
'2013.13.07';'01.22.00';'Burgess';'T David';'Trimble';'David';'6'
'2015.08.11';'09.37.44';'Aston';'Sarah';'Trotter';'Ralph';'6'
'2017.03.05';'19.18.09';'Brooks';'Janice';'Smith';'Kern';'6'
'2016.24.05';'08.28.07';'Thomas';'Charles';'Wakeley';'Gene';'9'
'2014.09.02';'05.33.11';'Townsend';'Jerry';'Waller';'Ronnie';'9'
'2016.19.05';'16.48.39';'Meador';'Terry';'Byers';'Ray';'10'
'2017.14.09';'21.30.56';'Tahirovic';'Agron';'Long';'Chuck';'8'
'2014.04.04';'07.00.51';'Ernst';'Dorothy';'Peterson';'Harry';'4'
'2013.12.08';'23.08.48';'Meger';'Margaret';'Smith';'Kern';'6'
'2018.03.02';'14.55.52';'Sirmans';'Frank';'Verrier';'William';'6'
'2016.17.01';'20.49.13';'Morris';'Garry';'Short';'John';'9'
'2014.29.03';'03.26.39';'Overton';'Rita';'Morrow';'Duncan';'9'
'2013.09.08';'02.57.00';'Lewis';'C';'Kempf';'Fred';'4'
'2018.30.04';'06.00.29';'Kelley';'Marty';'Holder';'Mary';'10'
'2014.12.03';'14.12.24';'Bolick';'Tom';'Jacobson';'Duane';'8'
'2018.14.03';'20.38.33';'Bowers';'Milton L';'Kho';'Judy';'6'
'2017.11.05';'22.22.29';'Joyce';'Lois';'Vogl';'Frank';'7'
'2016.18.02';'10.12.30';'Lawrence';'Francis';'Singh';'Anardeep';'7'
'2016.25.07';'19.58.32';'Lear';'Keith';'Alvarez';'Mauricio A';'4'
'2015.13.12';'01.02.19';'Taylor';'Larry';'Aanestad';'Darrell';'5'
'2014.14.03';'09.57.57';'Tabanelli';'Giotto';'Kempf';'Fred';'9'
'2015.13.08';'22.01.43';'Tung';'Kenny';'Marcotte';'Ken';'6'
'2015.03.05';'01.49.23';'Carola';'Dennis';'Ruga';'Glenn';'9'
'2016.03.02';'00.42.54';'Taylor';'Mickey';'Hodges';'Tony';'4'
'2014.27.03';'14.11.54';'Hempy';'A M';'Walter';'Ralph';'4'
'2016.28.10';'18.31.56';'Knight';'Debbie';'Alvarez';'Mauricio A';'4'
'2016.15.02';'22.32.09';'Taylor';'Mike';'Casby';'Maria';'8'
'2017.23.08';'07.37.38';'Battise';'Tammy';'Tuggle';'Jack';'5'
'2017.13.06';'02.38.25';'Berenschot';'Marie';'Hardy';'Bonnie';'7'
'2018.09.04';'04.25.04';'Sanchez';'Paul';'Nicolas';'Marie';'4'
'2014.06.01';'00.11.53';'Lown';'Ashley';'Siler';'Chuck';'4'
'2016.13.11';'10.37.35';'Zjawin';'Patricia';'Peterson';'Harry';'8'
'2013.25.06';'18.43.20';'Czura';'Tim';'Ruga';'Glenn';'10'
'2014.24.02';'00.32.42';'Chambers';'Jim';'Olson';'Liz';'6'
'2014.07.07';'04.34.06';'Bradway';'Susan';'Smith';'Willie';'6'
'2013.05.12';'23.41.02';'Frith';'Tommy';'Jacobson';'Duane';'10'
'2015.15.05';'05.25.09';'Ramirez';'Jose';'Evperprises';'Bayram';'8'
'2013.28.12';'06.55.09';'Lomeli';'Fernando';'Sphaler';'Randy';'5'
'2017.08.08';'05.45.59';'Moore';'Carolyn';'Turnbull';'Porter DC';'9'
'2015.04.10';'13.46.46';'Tavares';'Ron';'Vogel';'Randy';'5'
'2017.29.12';'23.10.18';'Bruce';'Marty';'Sidy';'Victor';'8'
'2014.28.06';'03.59.01';'Kosmecki';'Amy';'Beaurgeard';'Edward';'10'
'2014.14.09';'17.59.33';'Talley';'Jr John';'Missimer';'Dennis';'9'
'2014.11.10';'01.33.22';'Baker';'David';'Smith';'Willie';'5'
'2014.12.03';'21.25.39';'Fields';'Tabatha';'Hodges';'Tony';'6'
'2015.06.01';'21.29.42';'Thao';'Ming';'Siler';'Chuck';'4'
'2013.25.07';'21.34.10';'Tashea';'Richard';'Kniefel';'Twila';'8'
'2014.16.11';'23.20.50';'Kim';'Phillip';'Walton';'David';'9'
'2013.11.07';'03.29.30';'Demes';'Tom';'Stolmeier';'Vince';'9'
'2016.30.09';'03.06.45';'Weaver';'Ted';'Jones';'Roylyn';'8'
'2013.04.08';'10.14.23';'Bell';'Tommy';'Ambagis';'William';'9'
'2016.28.09';'22.45.06';'Vick';'Ted';'Ambagis';'William';'7'
'2013.30.12';'16.19.51';'Trahan';'Susan';'Hults';'Bob';'5'
'2017.08.04';'14.32.05';'Martyr';'Warren';'Ruga';'Glenn';'6'
'2014.19.12';'17.49.24';'Tanaka';'Ted';'Missimer';'Dennis';'4'
'2013.16.09';'20.23.15';'Neher';'Tony';'Moore';'Kitty';'8'
'2016.11.12';'12.58.14';'Clemmons';'Cody';'Olson';'Liz';'9'
'2016.17.06';'19.09.05';'Jobs';'Tracy';'Vogl';'Frank';'8'
'2016.17.11';'11.32.33';'Richardson';'Mark';'Kho';'Judy';'4'
'2013.22.09';'22.43.23';'Jones';'Tina';'Gianelli';'Richard';'5'
'2016.24.11';'00.38.45';'Mack';'Angela';'Walter';'Ralph';'6'
'2017.07.09';'04.22.31';'Robinson';'Jim';'Wade';'Walt';'5'
'2017.28.02';'01.14.52';'Teller';'Rosalind';'Waller';'Ronnie';'6'
'2015.13.01';'13.18.12';'Buchanan';'Rich';'Workman';'Bill';'6'
'2015.04.08';'17.54.09';'Griffith';'Buck';'Smith';'Kern';'5'
'2014.27.08';'18.56.05';'Tippett';'Pete';'Medley';'Michelle';'5'
'2014.11.04';'07.48.41';'Tackwell';'Larry';'Herston';'Robbie';'10'
'2017.18.03';'13.50.45';'Buckstaff';'Clyde';'Holder';'Mary';'5'
'2016.19.02';'14.13.06';'Schaper';'Leroy';'Keller';'Hymie';'5'
'2013.04.10';'13.10.29';'Kohl';'Thomas';'Hults';'Bob';'4'
'2018.11.02';'16.39.41';'Lin';'Billy';'Long';'Chuck';'6'
'2014.04.04';'07.24.54';'Tackett';'Joe';'Pompili';'Vince';'7'
'2016.21.04';'15.51.03';'So';'Wayne';'Siler';'Chuck';'10'
'2014.28.10';'06.49.20';'Fowler';'Tammy';'Gianelli';'Richard';'10'
'2014.22.04';'04.02.05';'Givens';'Mike';'Schmitz';'Rich';'9'
'2013.19.06';'11.38.14';'Rusnak';'Louis';'Brown';'Ted W OD';'10'
'2017.18.04';'09.49.53';'Saldana';'Tito';'Casby';'Maria';'10'
'2013.16.09';'00.12.41';'Johnson';'Terry';'Greenwood';'Elida';'10'
'2014.30.06';'01.14.22';'O\'Dell';'Jenny';'Kho';'Judy';'9'
'2018.09.01';'01.24.03';'Peskura';'Mark';'Nathan';'Larry';'9'
'2014.28.02';'02.28.41';'Hirdhani';'Veena';'Brown';'Ted W OD';'6'
'2015.30.08';'19.59.50';'Tate';'C';'Santos';'Eldis';'4'
'2013.11.05';'12.15.19';'Tourere';'John';'Thaxton';'Paul';'7'
'2017.05.06';'05.48.32';'Vaughan';'Matt';'Dave';'Steven';'6'
'2015.16.05';'21.30.30';'Stephens';'Jim';'Powell';'Sherry';'9'
'2013.19.06';'21.57.19';'Taggart';'Irving W';'Mehsling';'Brad';'5'
'2014.23.06';'08.29.10';'Durbin';'Jeff';'Powell';'Sherry';'7'
'2014.29.05';'11.17.56';'Kafer';'Tony';'Warren';'Tom';'7'
'2016.20.03';'04.35.23';'Virani';'Hussain';'Wade';'Walt';'5'
'2014.02.03';'08.18.08';'Lacaze';'Glenda';'Shumaker';'Janet';'10'
'2013.13.12';'21.29.30';'Thomas';'Stacey';'Dave';'Steven';'9'
'2013.31.08';'00.48.20';'Miller';'Thomas';'Workman';'Bill';'6'
'2013.05.12';'17.31.15';'Roberts';'Tom';'Trusty';'Arnold';'6'
'2017.07.07';'16.33.50';'Brown';'Teresa';'Ginsberg';'Ben';'5'
'2017.05.11';'17.24.22';'Smith';'Ted';'Nicolas';'Marie';'7'
'2015.05.01';'17.36.06';'Bucklew';'James';'Short';'John';'7'
'2016.21.02';'23.46.52';'Taylor';'Steve';'Kho';'Judy';'8'
'2017.27.01';'18.32.31';'King';'Don';'Gassa';'Lewis';'6'
'2018.24.03';'00.49.25';'Black';'J Michael';'Singh';'Anardeep';'5'
'2015.01.06';'23.33.05';'Molinari';'Angelo';'Greenwood';'Elida';'8'
'2015.18.08';'15.41.21';'Payne';'Lisa';'Ruark';'Keith';'7'
'2014.25.11';'06.37.34';'Berenschot';'Marie';'Peterson';'Harry';'5'
'2016.21.11';'09.54.25';'Solarski';'Kim';'Wade';'Walt';'6'
'2014.19.10';'02.44.25';'Le';'Houng';'Beaurgeard';'Edward';'7'
'2016.25.06';'19.42.05';'Gurley';'Tim';'Pinkston';'Lisa';'8'
'2013.11.11';'23.10.41';'Johnson';'Tom';'Thaxton';'Paul';'9'
'2017.30.11';'09.43.38';'Tate';'F B';'Santos';'Eldis';'9'
'2016.21.12';'11.12.28';'Teixeira';'Lou';'Anastas';'Vincent';'7'
'2014.23.11';'07.40.27';'Park';'Lippy';'Custer';'Renee';'9'
'2018.14.02';'10.33.08';'Martin';'Peyton';'Trusty';'Arnold';'7'
'2017.15.09';'05.50.47';'Warren';'Terri';'Thaxton';'Paul';'9'
'2017.25.05';'08.46.42';'Vichara';'Rawya';'Hong';'Gil';'5'
'2017.03.02';'01.12.21';'Cummings';'Bruce';'Salvemini';'Dominick';'10'
'2015.22.07';'19.21.38';'Edge';'Tammy Jo';'Shumaker';'Janet';'6'
'2016.21.05';'11.51.25';'Loberg';'Pierce';'Walter';'Ralph';'8'
'2016.12.03';'17.20.30';'Couture';'T C';'Ruga';'Glenn';'6'
'2014.29.08';'04.52.35';'Bullock';'Sue';'Trimble';'David';'7'
'2016.11.11';'00.02.27';'Knox';'Ted';'Keller';'Hymie';'8'
'2015.18.01';'17.54.31';'Noyed';'Brenda';'Olson';'Liz';'9'
'2017.28.02';'22.11.56';'Ehahoun';'Emmanul';'Santos';'Eldis';'6'
'2014.20.07';'12.28.00';'Salhi';'Samir';'Walter';'Ralph';'5'
'2014.25.10';'23.57.25';'Gimlin';'Jenean';'Smith';'Kern';'4'
'2017.02.02';'11.49.24';'Taylor';'Richard';'Tuggle';'Jack';'8'
'2015.07.10';'02.33.04';'Walter';'Therese';'Salvemini';'Dominick';'9'
'2017.27.03';'07.37.38';'Higginbothan';'Henry';'Hakes';'Vicki';'10'
'2015.24.10';'20.36.26';'Markarian';'Tony';'Byers';'Ray';'4'
'2015.05.06';'10.29.45';'Forniss';'Tara';'Byers';'Ray';'7'
'2014.23.12';'16.58.53';'Klubnik';'Jon';'Ledbetter';'Tennie';'7'
'2017.12.05';'11.33.01';'Devilbiss';'Vickie';'Smith';'Willie';'10'
'2014.17.11';'14.01.33';'Tarman';'Thomas A';'Santos';'Eldis';'10'
'2018.28.02';'06.43.58';'Mitchell';'J R';'Vogel';'Randy';'10'
'2016.17.09';'06.13.29';'Boman';'Larry';'Cook';'Steve';'9'
'2017.04.12';'04.22.11';'Terry';'Penny';'Harrelson';'Ray';'6'
'2016.07.04';'04.46.42';'Tolley';'Earl';'Porter';'Robert';'6'
'2017.15.01';'06.03.24';'Deangelo';'Michael';'Nicolas';'Marie';'6'
'2013.07.06';'13.59.31';'Bui';'Tuynh Q';'Porter';'Robert';'7'
'2017.07.01';'09.41.06';'Norman';'Bill';'Shumaker';'Janet';'8'
'2014.21.01';'21.12.22';'Kinley';'Terry';'Jacobson';'Duane';'4'
'2014.16.02';'23.20.31';'Humbert';'Tony';'Vanderholm';'Arnold';'10'
'2014.24.02';'10.02.37';'Lindeman';'Richard';'Tuggle';'Jack';'6'
'2017.12.07';'11.45.42';'Pusateri';'Sr Charles';'Tucci';'Thomas';'7'
'2014.09.02';'11.39.26';'Tibolla';'Jack';'Beaurgeard';'Edward';'8'
'2017.09.07';'17.35.38';'Hardee';'Teresa';'Gianelli';'Richard';'7'
'2015.17.09';'03.12.29';'Adams';'Robert';'Short';'John';'4'
'2013.07.09';'03.01.12';'Delgado';'Tino';'Long';'Chuck';'9'
'2015.31.03';'10.04.54';'Gonzales';'Hector';'Hong';'Gil';'10'
'2015.27.10';'15.32.46';'Rinker';'Lou';'Ginsberg';'Ben';'5'
'2014.14.11';'17.05.34';'Talley';'Bill';'Siler';'Chuck';'8'
'2014.27.07';'01.15.13';'Runley';'Mark';'Nicolas';'Marie';'8'
'2013.04.08';'17.25.04';'Popos';'Michael';'Nathan';'Larry';'5'
'2014.24.02';'05.00.04';'Torres';'Frank';'Missimer';'Dennis';'7'
'2017.17.05';'09.49.48';'Yule';'Cindy';'Gassa';'Lewis';'8'
'2015.17.01';'21.01.34';'Conley';'Julie';'Marcotte';'Ken';'9'
'2017.09.11';'14.52.06';'Ensign';'Susan';'Tucci';'Thomas';'7'
'2015.19.02';'05.05.09';'Churchman';'Terry';'Kho';'Judy';'4'
'2015.19.06';'15.23.19';'Spitzer';'Jennifer';'Gassa';'Lewis';'7'
'2016.02.04';'22.15.09';'Wu';'Quei-Meng';'Aanestad';'Darrell';'9'
'2015.07.02';'06.33.10';'Keyes';'Lisa';'Aanestad';'Darrell';'5'
'2018.10.02';'00.36.00';'Banga';'Alok';'Olson';'Liz';'6'
'2017.17.06';'12.11.23';'Francis';'Wesley';'Sidy';'Victor';'9'
'2016.05.06';'06.11.08';'Kane';'Daniel';'Moore';'Kitty';'5'
'2016.09.08';'00.13.37';'Bourges';'Clayton';'Moore';'Kitty';'10'
'2017.02.12';'04.34.46';'Scogin';'Nadine';'Moore';'Kitty';'10'
'2017.22.05';'19.35.21';'Ropo';'Tusin Ola';'Smith';'Kern';'6'
'2017.27.12';'06.04.30';'Nonn';'Terry';'Hodges';'Tony';'9'
'2015.03.06';'00.29.04';'Raulerson';'Brent';'Hardy';'Bonnie';'8'
'2013.14.05';'18.37.08';'Totherow';'Harry';'Short';'John';'10'
'2015.02.02';'21.33.56';'Lisa';'Pat';'Jones';'Roylyn';'7'
'2017.17.04';'05.09.32';'Tan';'Ailan';'Trimble';'David';'10'
'2017.28.06';'22.34.36';'Chan';'Teresa M';'Evperprises';'Bayram';'7'
'2017.09.01';'13.38.07';'Taylor';'Terry';'Powell';'Sherry';'9'
'2013.18.06';'17.47.02';'Brown';'Jeff';'Dave';'Steven';'6'
'2017.04.05';'06.22.15';'Aichele';'Fred';'Hong';'Gil';'6'
'2017.08.01';'09.03.03';'Orsogna';'Geno';'Hults';'Bob';'8'
'2015.06.10';'01.54.02';'Merlino';'Karen';'Tucci';'Thomas';'5'
'2017.15.10';'12.22.16';'Hovance';'Terry';'Tucci';'Thomas';'7'
'2015.23.02';'15.01.36';'Cavallo';'Alejandro';'Alvarez';'Mauricio A';'8'
'2018.20.01';'23.54.18';'Watson';'Jim';'Hodges';'Tony';'5'
'2016.27.09';'11.42.45';'Metz';'Chip';'Morrow';'Duncan';'4'
'2014.15.08';'09.10.56';'Callijas';'Paco';'Gianelli';'Richard';'5'
'2015.24.03';'01.41.26';'Damron';'Tanya';'Trotter';'Ralph';'10'
'2014.30.05';'11.53.51';'Gelastopoulos';'Tom';'Terpstra';'Wayne';'10'
'2017.22.06';'16.27.26';'Taran';'Louis';'Trusty';'Arnold';'10'
'2015.29.08';'05.54.45';'Aslam';'Mohammad';'Shumaker';'Janet';'10'
'2016.22.02';'12.25.56';'Taylor';'John';'Carlson';'Jared';'6'
'2016.27.10';'23.01.58';'Bulawa';'Jolene';'Terpstra';'Wayne';'5'
'2018.20.01';'21.08.05';'Solberg';'Loren';'Waller';'Ronnie';'7'
'2014.26.04';'03.11.58';'Basquez';'Rorosbel';'Evperprises';'Bayram';'6'
'2016.21.08';'22.19.09';'Mignogna';'Richard';'Turnbull';'Porter DC';'9'
'2016.14.04';'19.02.54';'Nguyen';'Joseph';'Trusty';'Arnold';'10'
'2013.11.06';'03.41.01';'Murphey';'Mike';'Turnbull';'Porter DC';'8'
'2014.28.02';'16.58.49';'Cook';'Miles';'Casby';'Maria';'6'
'2018.12.02';'04.44.10';'Draper';'Jerry';'Workman';'Bill';'8'
'2014.21.01';'12.34.11';'Abidun';'T';'Kniefel';'Twila';'9'
'2016.01.12';'01.36.29';'Niaupari';'Fabian';'Santos';'Eldis';'5'
'2014.02.12';'23.43.59';'Santoliquido';'Diane';'Cook';'Steve';'9'
'2015.03.03';'05.03.04';'Weddle';'Shanna';'Tuggle';'Jack';'7'
'2014.03.04';'19.22.23';'Tannous';'J';'Walter';'Ralph';'6'
'2016.05.11';'09.50.29';'Picard';'Teddy';'Peterson';'Harry';'6'
'2013.22.07';'11.10.18';'Taylor';'Shag OD';'Ruark';'Keith';'9'
'2016.01.02';'18.41.23';'Taylor';'Dale';'Keller';'Hymie';'4'
'2016.17.06';'17.49.51';'Soloman';'Simon';'Aanestad';'Darrell';'7'
'2014.23.04';'20.33.00';'Johnson';'Terry';'Vanderholm';'Arnold';'8'
'2014.04.08';'04.16.24';'Almquist';'Ross';'Carlson';'Jared';'8'
'2017.02.05';'01.01.26';'Soletzky';'Robin';'Nathan';'Larry';'7'
'2016.21.05';'02.23.47';'Schmale';'Frank';'Sims';'Michael';'6'
'2014.16.06';'16.39.02';'Young';'Mark DPM';'Nathan';'Larry';'10'
'2016.17.09';'04.32.46';'Burgin';'Ted';'Herston';'Robbie';'10'
'2017.20.05';'02.39.41';'Hitt';'George';'Morrow';'Duncan';'9'
'2014.01.07';'01.39.33';'Reed';'Sheila';'Wakeley';'Gene';'8'
'2015.29.09';'08.59.48';'Barnes';'R Neil';'Vogel';'Randy';'7'
'2016.14.06';'19.39.21';'Crawford';'Thomas E';'Peterson';'Harry';'7'
'2018.30.04';'19.46.30';'Snider';'Tom';'Dave';'Steven';'10'
'2018.12.02';'06.12.50';'Connors';'Timothy';'Evperprises';'Bayram';'10'
'2013.15.11';'15.05.48';'Wright';'Thomas M';'Holder';'Mary';'7'
'2015.21.03';'18.04.29';'Tantillo';'Philip CPA';'Medley';'Michelle';'5'
'2018.31.03';'17.30.00';'Beach';'Douglas';'Brown';'Ted W OD';'9'
'2014.07.09';'16.56.05';'Baker';'Talmadge';'Usina';'Ralph';'7'
'2017.17.12';'10.34.03';'Tieman';'Terry';'Mehsling';'Brad';'4'
'2016.20.07';'09.16.37';'Crossley';'Jim';'Waggoner';'Wayne DC';'7'
'2017.04.01';'23.21.14';'Taylor';'Dave';'Santos';'Eldis';'5'
'2015.17.01';'07.25.42';'Scogin';'Nadine';'Waller';'Ronnie';'7'
'2013.10.07';'06.46.54';'Krausnick';'Dale';'Vogel';'Randy';'8'
'2017.08.01';'12.17.20';'Ludquist';'Ron';'Walton';'David';'5'
'2013.30.06';'14.37.13';'Torres';'Frank';'Smith';'Kern';'10'
'2017.24.05';'09.24.46';'Johnson';'Kelly';'Dave';'Steven';'10'
'2013.04.07';'01.54.28';'Eugenis';'Tom';'Aanestad';'Darrell';'4'
'2016.24.10';'14.24.37';'Sanders';'II Jackie L';'Moore';'Kitty';'7'
'2014.07.01';'19.12.45';'Esterline';'Wayne';'Morar';'Satish';'6'
'2016.25.11';'08.29.54';'Strickland';'T J';'Morrow';'Duncan';'8'
'2016.18.11';'11.39.03';'Kuo';'Tai';'Porter';'Robert';'5'
'2017.21.04';'11.54.57';'Gonzalez';'Leo';'Walter';'Ralph';'8'
'2015.10.02';'08.36.17';'Konalenko';'Tania';'Tucci';'Thomas';'6'
'2014.25.01';'07.19.07';'Walden';'Narada';'Pompili';'Vince';'7'
'2018.29.03';'15.58.51';'Roman';'Martha';'Hamilton';'David';'9'
'2014.25.06';'09.57.53';'Wong';'Ben';'Evperprises';'Bayram';'5'
'2017.12.11';'10.00.05';'Tagliapietra';'Don';'Warren';'Tom';'8'
'2015.08.03';'15.49.21';'Turbeville';'Fred';'Thomas';'Tobby';'8'
'2014.27.12';'21.29.23';'Singh';'Jasbir';'Marcotte';'Ken';'9'
'2016.07.06';'08.57.44';'Bagherian';'Mike';'Adams';'Van B';'7'
'2017.27.09';'20.11.19';'Curtis';'Terry';'Siler';'Chuck';'4'
'2016.26.10';'22.16.10';'Gordon';'Jane';'Mehsling';'Brad';'6'
'2018.14.04';'00.57.49';'Todd';'Annell';'Porter';'Robert';'7'
'2015.28.03';'11.50.24';'Tatge';'Larry';'Vogl';'Frank';'7'
'2017.29.04';'16.18.58';'Strickland';'T J';'Mehsling';'Brad';'4'
'2015.05.09';'09.38.48';'Witherspoon';'Robert';'Trimble';'David';'5'
'2013.18.08';'12.38.29';'Wei';'Tammy';'Pinkston';'Lisa';'7'
'2014.08.08';'14.04.54';'Battle';'Jeffrey';'Singh';'Anardeep';'5'
'2017.03.09';'03.09.27';'Gipson';'Walter';'Morar';'Satish';'9'
'2015.23.03';'10.34.15';'Comparetto';'Tanya M';'Brown';'Ted W OD';'10'
'2016.04.08';'21.27.35';'Miller';'Shirley';'Marcotte';'Ken';'4'
'2013.01.08';'05.17.39';'Wall';'Terry';'Trotter';'Ralph';'9'
'2015.18.04';'05.36.40';'Abbo';'Richard';'Turnbull';'Porter DC';'9'
'2014.20.05';'21.24.08';'Young';'Tammy';'Moore';'Kitty';'4'
'2015.23.11';'20.05.51';'Cox';'Jena';'Vogel';'Randy';'8'
'2016.19.06';'16.39.37';'Jalali';'Homi';'Loeks';'Faye';'5'
'2014.01.12';'12.28.07';'Wright';'Debbie';'Harrelson';'Ray';'7'
'2013.28.12';'10.34.04';'Chen';'Zvu Kai';'Tucci';'Thomas';'9'
'2015.03.01';'00.29.37';'Terry';'Jeff';'Vogel';'Randy';'6'
'2015.28.10';'12.31.52';'Hovance';'Terry';'Waller';'Ronnie';'7'
'2014.20.11';'09.43.55';'Tamura';'Shirley';'Vogl';'Frank';'8'
'2017.07.09';'05.40.32';'Carpenter';'Darrell';'Singh';'Anardeep';'9'
'2016.22.06';'05.32.17';'Saneman';'W Timothy';'Pinkston';'Lisa';'4'
'2017.26.01';'13.32.29';'Carmone';'Oswald';'Workman';'Bill';'9'
'2015.02.10';'12.11.35';'Morgan';'Randy';'Mcnaughton';'Jeffery';'9'
'2015.25.08';'22.34.35';'Mgao';'Steven';'Jacobson';'Duane';'10'
'2014.08.05';'06.20.47';'Lesinski';'Dawn M';'Harrelson';'Ray';'9'
'2014.09.07';'02.21.08';'Feickert';'Joyce';'Walton';'David';'5'
'2016.19.09';'05.21.01';'Dean';'Craig';'Vogel';'Randy';'8'
'2013.16.12';'01.13.45';'Kearns';'Timothy CPA';'Smith';'Kern';'7'
'2016.19.02';'02.16.44';'Taylor';'Bruce';'Shumaker';'Janet';'6'
'2016.20.12';'23.17.12';'Ryu';'Hyunjoo';'Hardy';'Bonnie';'9'
'2016.01.11';'14.23.42';'Siri';'Ted';'Byers';'Ray';'5'
'2014.13.09';'22.38.19';'Talley';'Rick';'Schmitz';'Rich';'7'
'2013.09.09';'04.39.09';'Fultz';'Terry';'Schmitz';'Rich';'10'
'2017.26.09';'02.39.16';'Groves';'Dirk';'Keller';'Hymie';'6'
'2014.24.09';'00.13.04';'Telford';'Jim';'Pinkston';'Lisa';'7'
'2014.20.03';'17.32.39';'Dodd';'Jerry';'Jacobson';'Duane';'5'
'2014.02.05';'06.40.34';'Thomas';'Murray';'Herston';'Robbie';'9'
'2015.26.11';'22.56.23';'Ross';'Mike';'Wakeley';'Gene';'8'
'2016.05.03';'04.11.56';'Hegler';'Dan';'Greenwood';'Elida';'10'
'2016.26.07';'15.04.10';'Arnot';'David';'Hawks';'Greg';'6'
'2014.15.05';'16.36.58';'Trice';'George';'Walton';'David';'4'
'2014.26.07';'12.16.27';'Talley';'Russell';'Tuggle';'Jack';'9'
'2013.19.08';'12.14.10';'Ferrell';'Terry J';'Olson';'Liz';'5'
'2014.05.01';'18.25.27';'Hayes';'Freddie';'Smith';'Willie';'6'
'2017.08.09';'04.14.24';'Terrell';'David';'Vanzzini';'Daniel';'9'
'2014.29.09';'22.45.48';'Mc';'Clelland Tim';'Wade';'Walt';'8'
'2014.03.06';'05.17.12';'Taggart';'Sturges P';'Mcnaughton';'Jeffery';'7'
'2017.04.08';'16.57.47';'Grier';'Bill';'Waller';'Ronnie';'7'
'2014.24.06';'22.03.31';'Bird';'Joy';'Casby';'Maria';'4'
'2014.16.07';'19.51.51';'Banks';'J';'Udovich';'Dean';'5'
'2016.04.06';'16.50.03';'Perry';'David';'Keller';'Hymie';'7'
'2014.28.05';'23.25.05';'Heaton';'Jim';'Kempf';'Fred';'9'
'2017.14.01';'16.07.24';'Weiler';'Tony';'Mehsling';'Brad';'10'
'2013.11.05';'14.06.23';'Peterson';'Kris';'Short';'John';'5'
'2014.29.11';'07.17.30';'Rowrett';'Barry';'Holcombe';'Charles';'6'
'2016.11.04';'16.47.22';'Carlson';'Clayton';'Casby';'Maria';'8'
'2017.24.03';'17.46.21';'Lange';'David';'Shumaker';'Janet';'10'
'2017.21.07';'05.24.11';'Kim';'Elly';'Powell';'Sherry';'5'
'2015.12.11';'03.09.15';'Niemasik';'James E';'Shumaker';'Janet';'5'
'2017.21.03';'21.31.02';'Coleman';'Roger';'Waller';'Ronnie';'8'
'2016.23.02';'07.10.32';'Supelak';'Richard';'Tuggle';'Jack';'4'
'2016.21.06';'03.58.30';'Peluso';'Penny';'Medley';'Michelle';'7'
'2017.14.07';'09.17.54';'Powell';'Bobbie';'Moore';'Kitty';'4'
'2014.26.08';'19.06.44';'Thompson';'Nancy';'Walton';'David';'7'
'2014.06.08';'00.10.21';'Langas';'Taki J';'Moore';'Kitty';'7'
'2013.13.11';'06.02.34';'Ahmad';'Amin';'Thaxton';'Paul';'8'
'2017.26.11';'22.20.35';'Taylor';'Michael';'Gassa';'Lewis';'7'
'2016.26.02';'01.59.38';'Taylor';'Steven';'Gianelli';'Richard';'10'
'2017.25.02';'21.36.04';'Abbott';'Dave';'Walton';'David';'7'
'2017.18.10';'21.53.41';'Keeler';'Terry L';'Schmitz';'Rich';'10'
'2014.13.06';'11.29.06';'Hall';'Jim';'Carlson';'Jared';'4'
'2017.10.08';'14.44.37';'Contey';'Frank';'Kniefel';'Twila';'5'
'2014.01.07';'00.45.19';'Goodrich';'Joey';'Ruga';'Glenn';'8'
'2016.01.02';'10.45.01';'Taylor';'Ralph';'Hakes';'Vicki';'8'
